Hong Kong International Airport   ,,,,,,,,,,,,,,,,,,,,
Civil International Air Transport,,,,,,,,,,,,,,,,,,,,
"Movements of Aircraft, Passenger and Freight",,,,,,,,,,,,,,,,,,,,
(1998 - 2020),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Aircraft,0,0,0,Passenger @,,,,Freight β (Tonne),,,,,,,,,
Year,Month,,Landing,Take-off,Total,"Year-on-year 
% change",Arrival,Departure,Total,"Year-on-year 
% change",Unloaded,Loaded,Total,"Year-on-year 
% change",,,,,,
,May,, 6 786  , 6 784  , 13 570  ,-1.9     ,1 051 369  ,1 077 758  ,2 129 127  ,-12.3     , 72 498 , 70 479 , 142 977 ,-2.2     ,,,,,,
,Jun,, 6 546  , 6 549  , 13 095  ,-2.6     ,1 085 690  ,1 085 479  ,2 171 169  ,-0.8     , 69 156 , 68 917 , 138 073 ,-5.0     ,,,,,,
,Jul,*, 6 944  , 6 947  , 13 891  ,-1.3     ,1 203 855  ,1 238 250  ,2 442 105  ,+6.7     , 45 968 , 49 252 , 95 221 ,-37.7     ,,,,,,
,Aug,, 7 195  , 7 194  , 14 389  ,+2.5     ,1 334 642  ,1 269 286  ,2 603 928  ,+1.2     , 56 173 , 64 362 , 120 534 ,-21.3     ,,,,,,
,Sep,, 6 826  , 6 828  , 13 654  ,-0.5     ,1 021 237  ,1 097 754  ,2 118 991  ,-0.2     , 61 249 , 78 228 , 139 477 ,-12.4     ,,,,,,
,Oct,, 7 127  , 7 112  , 14 239  ,+1.0     ,1 246 202  ,1 173 786  ,2 419 988  ,+5.0     , 66 381 , 88 081 , 154 462 ,-10.3     ,,,,,,
,Nov,, 6 737  , 6 741  , 13 478  ,-1.6     ,1 095 185  ,1 062 187  ,2 157 372  ,+2.5     , 66 855 , 90 629 , 157 485 ,-8.0     ,,,,,,
,Dec,, 7 057  , 7 063  , 14 120  ,+0.2     ,1 219 615  ,1 204 751  ,2 424 366  ,+5.8     , 68 496 , 79 644 , 148 141 ,-4.1     ,,,,,,
1999,Jan,, 6 803  , 6 809  , 13 612  ,-3.2     ,1 072 733  ,1 080 788  ,2 153 521  ,-3.4     , 62 389 , 71 177 , 133 566 ,+6.5     ,,,,,,
,Feb,, 6 619  , 6 615  , 13 234  ,+8.9     ,1 165 738  ,1 177 213  ,2 342 951  ,+16.9     , 56 367 , 60 932 , 117 299 ,+3.7     ,,,,,,
,Mar,, 6 904  , 6 919  , 13 823  ,+5.0     ,1 141 608  ,1 158 939  ,2 300 547  ,+6.0     , 70 664 , 86 221 , 156 884 ,+1.6     ,,,,,,
,Apr,, 6 994  , 6 995  , 13 989  ,+4.4     ,1 266 402  ,1 222 643  ,2 489 045  ,+6.5     , 67 720 , 88 335 , 156 054 ,+11.9     ,,,,,,
,May,, 6 960  , 6 935  , 13 895  ,+2.4     ,1 156 803  ,1 163 977  ,2 320 780  ,+9.0     , 71 316 , 87 789 , 159 105 ,+11.3     ,,,,,,
,Jun,, 6 626  , 6 651  , 13 277  ,+1.4     ,1 110 030  ,1 135 203  ,2 245 233  ,+3.4     , 66 394 , 85 257 , 151 651 ,+9.8     ,,,,,,
,Jul,, 7 144  , 7 145  , 14 289  ,+2.9     ,1 330 977  ,1 369 445  ,2 700 422  ,+10.6     , 70 096 , 95 223 , 165 319 ,+73.6     ,,,,,,
,Aug,, 7 174  , 7 169  , 14 343  ,-0.3     ,1 408 157  ,1 339 286  ,2 747 443  ,+5.5     , 65 910 , 96 744 , 162 654 ,+34.9     ,,,,,,
,Sep,, 6 803  , 6 805  , 13 608  ,-0.3     ,1 113 918  ,1 153 682  ,2 267 600  ,+7.0     , 69 492 , 104 617 , 174 108 ,+24.8     ,,,,,,
,Oct,, 7 266  , 7 264  , 14 530  ,+2.0     ,1 316 375  ,1 277 962  ,2 594 337  ,+7.2     , 80 596 , 119 429 , 200 025 ,+29.5     ,,,,,,
,Nov,, 7 078  , 7 081  , 14 159  ,+5.1     ,1 235 095  ,1 217 614  ,2 452 709  ,+13.7     , 77 657 , 125 220 , 202 877 ,+28.8     ,,,,,,
,Dec,, 7 315  , 7 295  , 14 610  ,+3.5     ,1 234 434  ,1 213 548  ,2 447 982  ,+1.0     , 82 560 , 112 188 , 194 749 ,+31.5     ,,,,,,
2000,Jan,, 6 908  , 6 926  , 13 834  ,+1.6     ,1 125 875  ,1 166 816  ,2 292 691  ,+6.5     , 71 559 , 90 464 , 162 022 ,+21.3     ,,,,,,
,Feb,, 7 010  , 7 014  , 14 024  ,+6.0     ,1 305 123  ,1 233 741  ,2 538 864  ,+8.4     , 61 923 , 74 265 , 136 187 ,+16.1     ,,,,,,
,Mar,, 7 306  , 7 306  , 14 612  ,+5.7     ,1 252 303  ,1 260 248  ,2 512 551  ,+9.2     , 80 416 , 114 821 , 195 237 ,+24.4     ,,,,,,
,Apr,, 7 445  , 7 445  , 14 890  ,+6.4     ,1 433 209  ,1 445 557  ,2 878 766  ,+15.7     , 79 007 , 107 336 , 186 342 ,+19.4     ,,,,,,
,May,, 7 531  , 7 538  , 15 069  ,+8.4     ,1 330 375  ,1 322 463  ,2 652 838  ,+14.3     , 77 890 , 103 515 , 181 405 ,+14.0     ,,,,,,
,Jun,, 7 318  , 7 321  , 14 639  ,+10.3     ,1 310 638  ,1 320 560  ,2 631 198  ,+17.2     , 79 055 , 101 523 , 180 578 ,+19.1     ,,,,,,
,Jul,, 7 758  , 7 737  , 15 495  ,+8.4     ,1 450 450  ,1 484 304  ,2 934 754  ,+8.7     , 81 179 , 107 739 , 188 918 ,+14.3     ,,,,,,
,Aug,, 7 928  , 7 938  , 15 866  ,+10.6     ,1 525 680  ,1 452 082  ,2 977 762  ,+8.4     , 79 036 , 109 116 , 188 152 ,+15.7     ,,,,,,
,Sep,, 7 761  , 7 765  , 15 526  ,+14.1     ,1 315 969  ,1 376 089  ,2 692 058  ,+18.7     , 85 060 , 117 433 , 202 494 ,+16.3     ,,,,,,
,Oct,, 8 116  , 8 087  , 16 203  ,+11.5     ,1 429 783  ,1 379 342  ,2 809 125  ,+8.3     , 84 840 , 125 315 , 210 155 ,+5.1     ,,,,,,
,Nov,, 7 803  , 7 816  , 15 619  ,+10.3     ,1 274 250  ,1 247 394  ,2 521 644  ,+2.8     , 85 296 , 129 237 , 214 533 ,+5.7     ,,,,,,
,Dec,, 8 065  , 8 076  , 16 141  ,+10.5     ,1 358 410  ,1 330 051  ,2 688 461  ,+9.8     , 87 253 , 107 309 , 194 562 ,-0.1     ,,,,,,
2001,Jan,, 8 228  , 8 229  , 16 457  ,+19.0     ,1 331 381  ,1 419 393  ,2 750 774  ,+20.0     , 65 479 , 77 491 , 142 970 ,-11.8     ,,,,,,
