Hong Kong International Airport   ,,,,,,,,,,,,,
,,Aircraft,0,0,0,Passenger @,,,,Freight β (Tonne),,,
Year,Month,Landing,Take-off,Total,"Year-on-year 
% change",Arrival,Departure,Total,"Year-on-year 
% change",Unloaded,Loaded,Total,"Year-on-year 
% change"
,Sep,16691,16707,33398,-1,2362710,2472443,4835153,-12.7,135028,262098,397126,-6.2
,Oct,17177,17162,34339,-6,2767962,2584921,5352883,-13,138643,280586,419228,-5.5
,Nov,16266,16262,32528,-8.2,2493253,2520669,5013922,-16.1,139834,299704,439538,-3.5
,Dec,16995,17004,33999,-8.4,2826432,2873565,5699997,-12.4,141384,291678,433062,-1.2
2020,Jan,16618,16608,33226,-9.1,2779209,2922579,5701788,-11.7,115710,235638,351348,-10.5
,Feb,9029,8992,18021,-44.4,1005112,872606,1877718,-68,114923,131621,246544,-8.5
,Mar,6106,6029,12135,-67,349248,226577,575825,-91,123634,251027,374661,-11.3
,Apr,4705,4736,9441,-73.5,19664,12075,31739,-99.5,98730,235827,334557,-13.1
,May,5678,5677,11355,-68.7,24000,11000,35000,-99.4,110500,263500,374000,-5.5
,Jun,4973,4972,9945,-71.8,37000,22000,59000,-99.1,113000,241000,354000,-6.6
